epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.035,2.06108,2.7646,1.06175,0.65596,0.04418,0.05078,0.02579,2.02626,2.64555,1.04094,0.000328042,0.000328042,0.0675238
2,555.418,1.93812,2.01727,1.03206,0.32758,0.13083,0.07553,0.03631,1.99374,1.85402,1.01607,0.00064828,0.00064828,0.0345107
3,841.441,1.90725,1.81998,1.01594,0.34555,0.15383,0.08698,0.04687,1.81512,1.76517,0.99379,0.000955319,0.000955319,0.00148442
4,1125.29,1.89279,1.74649,1.0113,0.26855,0.151,0.09094,0.04693,1.89555,1.73486,1.01811,0.0009406,0.0009406,0.0009406
5,1401.7,1.83502,1.63499,0.99999,0.29816,0.17625,0.10024,0.05583,1.78173,1.70316,0.98089,0.0009208,0.0009208,0.0009208
6,1752.43,1.83957,1.5974,0.98522,0.30299,0.17516,0.11744,0.06199,1.76448,1.52488,0.97561,0.000901,0.000901,0.000901
7,1987.82,1.82642,1.57462,0.98736,0.27149,0.17269,0.12835,0.06794,1.77904,1.56418,0.98602,0.0008812,0.0008812,0.0008812
8,2283.67,1.7939,1.53578,0.98039,0.22906,0.19768,0.13815,0.07393,1.78861,1.48108,0.97326,0.0008614,0.0008614,0.0008614
9,2645.08,1.78368,1.51253,0.98056,0.25935,0.20786,0.14612,0.0785,1.74474,1.45464,0.9672,0.0008416,0.0008416,0.0008416
10,3045.09,1.77945,1.49654,0.97974,0.22793,0.20769,0.14739,0.07922,1.72146,1.42337,0.96312,0.0008218,0.0008218,0.0008218
11,3501.94,1.76027,1.47169,0.97143,0.27949,0.20869,0.15984,0.08582,1.69337,1.42309,0.96574,0.000802,0.000802,0.000802
12,3851.61,1.73834,1.44237,0.96994,0.27557,0.23214,0.16808,0.08959,1.69604,1.38858,0.95578,0.0007822,0.0007822,0.0007822
13,4204.18,1.74712,1.45504,0.96816,0.2156,0.22014,0.14534,0.07673,1.7564,1.47434,0.96331,0.0007624,0.0007624,0.0007624
14,4630.2,1.7525,1.44985,0.96395,0.28164,0.23327,0.17389,0.09318,1.66461,1.34339,0.95632,0.0007426,0.0007426,0.0007426
15,4967.15,1.71609,1.404,0.96023,0.28796,0.21361,0.16687,0.09099,1.67561,1.38093,0.9483,0.0007228,0.0007228,0.0007228
16,5356.05,1.71175,1.37669,0.95625,0.2982,0.22943,0.17804,0.09655,1.69939,1.3464,0.96364,0.000703,0.000703,0.000703
17,5735.8,1.72101,1.37228,0.95172,0.24913,0.21386,0.16095,0.08936,1.69042,1.38049,0.95983,0.0006832,0.0006832,0.0006832
18,6115.35,1.71079,1.37167,0.95901,0.30064,0.22191,0.18091,0.09753,1.69286,1.32465,0.95032,0.0006634,0.0006634,0.0006634
19,6515.84,1.71925,1.34413,0.95155,0.29149,0.238,0.19124,0.1035,1.68698,1.32512,0.94763,0.0006436,0.0006436,0.0006436
20,6915.64,1.6767,1.31169,0.95348,0.29365,0.24952,0.19524,0.10691,1.60916,1.30907,0.93992,0.0006238,0.0006238,0.0006238
21,7598.19,1.676,1.30374,0.94896,0.26785,0.2606,0.19043,0.10316,1.6551,1.36175,0.94177,0.000604,0.000604,0.000604
22,8065.95,1.67567,1.29841,0.93979,0.29919,0.24398,0.1829,0.10219,1.64479,1.30476,0.94115,0.0005842,0.0005842,0.0005842
23,8533.32,1.66102,1.30693,0.94661,0.33672,0.23774,0.1887,0.09829,1.65006,1.34914,0.94634,0.0005644,0.0005644,0.0005644
24,8876.06,1.67436,1.31016,0.94366,0.28549,0.25409,0.20099,0.11025,1.6378,1.29336,0.94068,0.0005446,0.0005446,0.0005446
25,9608.92,1.69191,1.29611,0.94043,0.31104,0.24169,0.20171,0.1108,1.65268,1.27131,0.94283,0.0005248,0.0005248,0.0005248
26,9987.41,1.64449,1.26704,0.94132,0.36354,0.24726,0.2084,0.11611,1.61339,1.25875,0.93456,0.000505,0.000505,0.000505
